,Actual,Exp. 1,Exp. 2,Exp. 3,Exp. 4,Exp. 5
0,7,7.4,6.9,6.9,7.0,7.1
1,7,6.9,7.0,6.9,7.1,6.8
2,15,11.3,11.3,11.3,11.3,
3,11,10.9,11.3,10.8,10.9,11.1
4,9,9.0,9.0,8.9,8.9,9.0
5,12,12.0,12.1,12.0,11.8,12.0
6,17,16.8,17.0,17.0,17.1,17.4
7,12,11.9,12.1,12.0,11.9,12.1
8,18,17.9,17.7,17.7,17.7,17.7
9,18,17.7,17.7,18.3,18.1,18.1
10,14,17.9,17.9,17.9,17.9,17.9
11,18,18.0,18.1,18.0,18.2,17.9
12,18,18.0,18.0,17.8,,18.2
13,19,18.9,19.0,19.0,19.0,19.0
14,19,19.0,19.0,19.0,19.2,19.0
15,19,18.9,19.0,19.2,19.1,19.1
16,25,23.3,23.4,23.3,23.4,
17,22,22.4,22.0,21.9,22.1,21.5
18,19,19.1,18.8,19.1,20.0,
19,23,23.0,23.0,22.9,23.1,23.0
20,7,9.6,9.6,9.6,10.3,9.6
21,10,9.9,10.1,10.0,9.9,10.0
22,11,11.0,11.1,10.9,11.0,11.0
23,15,11.3,11.4,11.4,11.3,
24,11,10.9,10.9,11.2,10.9,11.0
